# Key, 日本語, English,SChinese,TChinese
SyncError_NotInstalled,{player}にSuperNewRolesが導入されていません。,{player} does not have SuperNewRoles installed.,{player}没有安装SuperNewRoles.,{player}沒有安裝SuperNewRoles.

# Role
Bait,ベイト,Bait,餌,餌
BaitReportTime,遅延時間,Delay Time,遲延時間,遲延時間
BestFalseCharge,ベスト冤罪ヤー,Best False Charge,最佳冤罪者,最佳冤罪者
Sheriff,シェリフ,Sheriff,警長,警長
NiceGuesser,ナイスゲッサー,Nice Guesser,好人猜疑者,好人猜疑者
EvilGuesser,イビルゲッサー,Evil Guesser,内鬼猜疑者,內鬼猜疑者

# Sheriff Options
SheriffKillCooldown,キルクールタイム,Kill Cooldown,殺人冷卻時間,殺人冷卻時間
SheriffCanKillNeutral,第三陣営をキルできる,Can Kill Neutral,可以殺死第三陣營,可以殺死第三陣營
SheriffCanKillImpostor,インポスターをキルできる,Can Kill Impostor,可以殺死內鬼,可以殺死內鬼

# Guesser Options
NiceGuesserMaxShots,打てる最大数,Maximum Number of Shots,最大射击次数,最大射擊次數
NiceGuesserShotsPerMeeting,1会議に打てる回数,Shots Per Meeting,每次会议可射击次数,每次會議可射擊次數
NiceGuesserCannotShootCrewmate,クルーメイトを打てない,Cannot Shoot Crewmate,不能射击船员,不能射擊船員
NiceGuesserCannotShootStar,スターを打てない,Cannot Shoot Star,不能射击星星,不能射擊星星
EvilGuesserMaxShots,打てる最大数,Maximum Number of Shots,最大射击次数,最大射擊次數
EvilGuesserShotsPerMeeting,1会議に打てる回数,Shots Per Meeting,每次会议可射击次数,每次會議可射擊次數
EvilGuesserCannotShootImpostor,インポスターを打てない,Cannot Shoot Impostor,不能射击内鬼,不能射擊內鬼
EvilGuesserCannotShootStar,スターを打てない,Cannot Shoot Star,不能射击星星,不能射擊星星

# Guesser UI
NextPage,次へ,Next,下一页,下一頁
PreviousPage,前へ,Previous,上一页,上一頁
