moto,0,11,13
SecretRoom,(Airship)Secret Room,(エアーシップ)シークレットルーム,SecretRoom
enableMirroMap,enable MirroMap,反転マップを有効にする,enableMirroMap
SettingpresetSelection,Preset,プリセット,SettingpresetSelection
SettingSuperNewRoles,<color=#ffa500> S u p e r </color><color=#ff0000>N e w </color><color=#00ff00>R o l e s</color> Settings,<color=#ffa500> S u p e r </color><color=#ff0000>N e w</color><color=#00ff00> R o l e s </color>の設定,SettingSuperNewRoles
SettingImpostor,<color=#ff0000>Impostor</color> Settings,<color=#ff0000>インポスター</color>の設定,SettingImpostor
SettingNeutral,<color=#808080>Neutral</color> Settings,<color=#808080>第三陣営</color>の設定,SettingNeutral
SettingCrewmate,<color=#a9ceec>Crewmate</color> Settings,<color=#00ffff>クルーメイト</color>の設定,SettingCrewmate
SettingMiniCrewRole,Minimum Crewmate Roles,最小クルーメイト役職数,SettingMiniCrewRole
SettingMaxCrewRole,Maximum Crewmate Roles,クルーメイト役職人数,SettingMaxCrewRole
SettingMiniCrewGhostRole,Minimum Crewmate Ghost Roles,最小クルーメイト幽霊役職数,SettingMiniCrewGhostRole
SettingMaxCrewGhostRole,Maximum Crewmate Ghost Roles,クルーメイト幽霊役職人数,SettingMaxCrewGhostRole
SettingMiniNeutralRole,Minimum Neutral Roles,最小第三陣営役職数,SettingMiniNeutralRole
SettingMaxNeutralRole,Maximum Neutral Roles,第三陣営役職人数,SettingMaxNeutralRole
SettingMiniNeutralGhostRole,Minimum Neutral Ghost Roles,最小第三陣営幽霊役職数,SettingMiniNeutralGhostRole
SettingMaxNeutralGhostRole,Maximum Neutral Ghost Roles,第三陣営幽霊役職人数,SettingMaxNeutralGhostRole
SettingMiniImpoRole,Minimum Impostor Roles,最小インポスター役職数,SettingMiniImpoRole
SettingMaxImpoRole,Maximum Impostor Roles,インポスター役職人数,SettingMaxImpoRole
SettingMiniImpoGhostRole,Minimum Impostor Ghost Roles,最小インポスター幽霊役職数,SettingMiniImpoGhostRole
SettingMaxImpoGhostRole,Maximum Impostor GhostRoles,インポスター幽霊役職人数,SettingMaxImpoGhostRole
SettingsHideSetting,Hide Setting,設定を隠す,SettingsHideSetting
SettingCrewMateTeamRolesName,Position setting of crewmate camp,クルーメイト陣営の役職設定,SettingCrewMateTeamRolesName
SettingImpostorTeamRolesName,Imposter camp position setting,インポスター陣営の役職設定,SettingImpostorTeamRolesName
Setting,Setting up positions in the third camp,第三陣営の役職設定,Setting
SettingAllOkRolesName,Setting up multiple positions,複数役職の設定,SettingAllOkRolesName
Settingsonota,Other settings,その他の設定,Settingsonota
optionOn,On,オン,optionOn
optionOff,Off,オフ,optionOff
unitSeconds,Seconds,秒,unitSeconds
preset1,Preset 1,プリセット1,preset1
preset2,Preset 2,プリセット2,preset2
preset3,Preset 3,プリセット3,preset3
preset4,Preset 4,プリセット4,preset4
preset5,Preset 5,プリセット5,preset5
preset6,Preset 6,プリセット6,preset6
preset7,Preset 7,プリセット7,preset7
preset8,Preset 8,プリセット8,preset8
preset9,Preset 9,プリセット9,preset9
preset10,Preset 10,プリセット10,preset10
creditsMain,Create By ykundesu,Create By ykundesu,creditsMain
creditsFull,Create By ykundesu,Create By ykundesu,creditsFull
creditsVersion,SuperNewRoles v{0},SuperNewRoles v{0},creditsVersion
creditsUpdateOk,It has been updated. It will be applied when you reboot. Latest Version:v{0},自動アップデート済みです。再起動すると適用されます。最新バージョン:v{0},creditsUpdateOk
modOptionsText,Options,設定,modOptionsText
moreOptionsText,Normal Setting&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> Settings,通常設定&<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>の設定,moreOptionsText
SettingPlayerCountName,Role Player,人数,SettingPlayerCountName
CustomStremerMode,Hide Server Url,サーバーURLを非表示にする,CustomStremerMode
CustomAutoUpdate,Auto Update,自動アップデート,CustomAutoUpdate
CustomAutoCopyGameCode,Game Code Auto Copy,ゲームコードを自動でコピーする,CustomAutoCopyGameCode
CustomProcessDown,Update Process Down,処理回数を減らす,CustomProcessDown
CustomIsVersionErrorView,Show players that are not in or have different versions.,入っていない、バージョンが違うプレイヤーを表示する,CustomIsVersionErrorView
CustomHideTaskArrows,Hide Tasks Arrows,タスクの矢印を非表示にする,CustomHideTaskArrows
SettingCrewmateRoles,CrewMate Setting,クルーメイトの人数設定,SettingCrewmateRoles
SettingCrewmateGhostRoles,CrewMate GhostRole Setting,クルーメイトの幽霊役職の人数設定,SettingCrewmateGhostRoles
SettingNeutralRoles,Neutral Setting,第三陣営の人数設定,SettingNeutralRoles
SettingNeutralGhostRoles,Neutral GhostRole Setting,第三陣営の幽霊役職の人数設定,SettingNeutralGhostRoles
SettingImpostorRoles,Impostor Setting,インポスターの人数設定,SettingImpostorRoles
SettingImpostorGhostRoles,Impostor GhostRole Setting,インポスターの幽霊役職の人数設定,SettingImpostorGhostRoles
SettingOptionOn,On,オン,SettingOptionOn
SettingOptionOff,Off,オフ,SettingOptionOff
SettingPressTabForMore,Press Tab For More,Tabを押して詳細を表示,SettingPressTabForMore
ErrorHostNoVersion,Your host does not have <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>.,ホストに<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>が入っていません。,ErrorHostNoVersion
ErrorHostChangeVersion,The host has a different version of <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>.,ホストの<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のバージョンが違います。,ErrorHostChangeVersion
ErrorClientNoVersion,You don't have <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> in {0}.,{0}に<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>が入っていません。,ErrorClientNoVersion
ErrorClientChangeVersion,The version of <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> in {0} is wrong.,{0}の<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のバージョンが違います。,ErrorClientChangeVersion
HaisonName,Haison,廃村,HaisonName
ModeSetting,Mode Setting,モード設定,ModeSetting
SettingMode,Mode,モード,SettingMode
SettingHideAndSeekMode,Hide And Seek Mode,かくれんぼモードの設定,SettingHideAndSeekMode
SettingBattleRoyalMode,Battle Royal Mode,バトルロイヤルモードの設定,SettingBattleRoyalMode
SettingSuperHostRolesMode,Super Host Roles Mode,SuperHostRolesの設定,SettingSuperHostRolesMode
SettingZombieMode,Zombie Mode,ゾンビモードの設定,SettingZombieMode
SettingRandomColorMode,Random Color Mode,ランダムカラーモードの設定,SettingRandomColorMode
SettingDetectiveMode,Detective Mode,探偵モードの設定,SettingDetectiveMode
HideAndSeekModeName,Hide And Seek,かくれんぼ,HideAndSeekModeName
BattleRoyalModeName,Battle Royal,バトルロイヤル,BattleRoyalModeName
SuperHostRolesModeName,Super Host Roles,SuperHostRoles,SuperHostRolesModeName
ZombieModeName,Zombie Mode,ゾンビモード,ZombieModeName
RandomColorModeName,Random Color Mode,ランダムカラー,RandomColorModeName
NotImpostorCheckModeName,Not Impostor Check Mode,インポスター視認不能モード,NotImpostorCheckModeName
CopsRobbersModeName,CopsRobbers,ケイドロ,CopsRobbersModeName
CopsRobbersModeCrewName,Thief,泥棒,CopsRobbersModeCrewName
CopsRobbersModeCrewTitle1,Finish the task and win without getting caught by the police!,警察に捕まらないようにタスクを終わらせて勝利しよう,CopsRobbersModeCrewTitle1
CopsRobbersModeImpostorName,Police,警察,CopsRobbersModeImpostorName
CopsRobbersModeImpostorTitle1,Catch all the thieves and win!,泥棒を全員捕まえて勝利しよう,CopsRobbersModeImpostorTitle1
DetectiveModeName,Detective Mode,探偵モード,DetectiveModeName
DetectiveModeIsWinNotCheckSetting,Not include the detective in the win condition determination.,探偵を勝利条件判定に入れない,DetectiveModeIsWinNotCheckSetting
DetectiveModeIsNotTaskSetting,No tasks for detective,探偵にタスクがない,DetectiveModeIsNotTaskSetting
DetectiveModeIsNotDetectiveVoteSetting,Non-Detective cannot vote,探偵以外は投票できない,DetectiveModeIsNotDetectiveVoteSetting
DetectiveModeIsNotDetectiveMeetingButtonSetting,Non-Detective cannot press the conference button,探偵以外が会議ボタンを押せない,DetectiveModeIsNotDetectiveMeetingButtonSetting
DetectiveName,Detective,探偵,DetectiveName
DetectiveTitle1,Guess and win over your crewmates!,推理してクルーメイトを勝利させよう,DetectiveTitle1
BattleRoyalIsViewAlivePlayer,You can see how many player are left alive.,残り生存人数がわかる,BattleRoyalIsViewAlivePlayer
BattleRoyalIsTeamBattle,Team competition,チーム戦,BattleRoyalIsTeamBattle
BattleRoyalTeamAmount,Number of teams,チーム数,BattleRoyalTeamAmount
BattleRoyalStartSeconds,Seconds to be able to make a kill,キルができるようになるまでの秒数,BattleRoyalStartSeconds
CrewMateName,Crewmate,クルーメイト,CrewMateName
CrewMateTitle1,Use Task,タスクを行う,CrewMateTitle1
CrewMateDescription,Default Crewmate.,通常のクルーメイトです。,CrewMateDescription
ImpostorName,Impostor,インポスター,ImpostorName
ImpostorTitle1,Use Sabotage & Vent,サボタージュ＆ベントを行う,ImpostorTitle1
ImpostorDescription,Default Impostor.,通常のインポスターです。,ImpostorDescription
LevelUpModeName,Level Up,レベルアップ,LevelUpModeName
ZombieZombieName,Zombie,ゾンビ,ZombieZombieName
ZombieZombieTitle1,Infect other players!,他のプレイヤーを感染させよう,ZombieZombieTitle1
ZombiePoliceName,Police,警察,ZombiePoliceName
ZombiePoliceTitle1,Let's finish the task.,タスクを終わらせて勝利しよう,ZombiePoliceTitle1
ZombieTimerText,Zombies incoming! {0}s,ゾンビがやってくるまで残り{0}秒！,ZombieTimerText
ZombieStartSecondSetting,Time until the zombies come.,ゾンビがやってくるまでの時間,ZombieStartSecondSetting
ZombieZombieLightSetting,Zombie Visibility,ゾンビの視界,ZombieZombieLightSetting
ZombieZombieSpeedSetting,Zombie Speed,ゾンビのスピード,ZombieZombieSpeedSetting
ZombiePoliceLightSetting,Police visibility,警察の視界,ZombiePoliceLightSetting
ZombiePoliceSpeedSetting,Speed of police,警察のスピード,ZombiePoliceSpeedSetting
ZombieCommingLightSetting,Light before zombies,ゾンビがやってくる前の視界,ZombieCommingLightSetting
ZombieCommingSpeedSetting,Speed before zombies,ゾンビがやってくる前のスピード,ZombieCommingSpeedSetting
RandomColorHideNameSetting,Hide Name,名前を隠す,RandomColorHideNameSetting
RandomColorNameColorSetting,Change Name Color,名前の色も変える,RandomColorNameColorSetting
RandomColorMeetingSetting,In Meeting Change Color,会議中にも色を変更する,RandomColorMeetingSetting
NeutralName,Neutral,第三陣営,NeutralName
WinName,Win,勝利,WinName
PlusModeSetting,Plus Mode,重複モード,PlusModeSetting
SettingNoSabotageMode,Block Sabotage Mode,サボタージュ禁止モード,SettingNoSabotageMode
SettingNoTaskWinMode,Not Task Win Mode,タスク勝利できないモード,SettingNoTaskWinMode
SettingFixedSpawnMode,Fixed Spawn Mode,固定スポーンモード,SettingFixedSpawnMode
MapOptionSetting,Map Option,マップの設定,MapOptionSetting
NotUseReportSetting,Unable to Report DeadBody,死体通報ができない,NotUseReportSetting
NotUseMeetingSetting,Conference button not available,会議ボタンが使用できない,NotUseMeetingSetting
DeviceOptionsSetting,Device Options,機器の設定,DeviceOptionsSetting
DeviceUseAdminSetting,Use OK Admin,アドミンが使える,DeviceUseAdminSetting
DeviceUseVitalOrDoorLogSetting,Use OK Vital Or DoorLog,バイタル・ドアログが使える,DeviceUseVitalOrDoorLogSetting
DeviceUseCameraSetting,Use OK Camera,カメラが使える,DeviceUseCameraSetting
HASHideName,Hide,逃,HASHideName
HASSeekName,Seek,鬼,HASSeekName
HASDeathTaskSetting,Hide Death Clear Task,死亡するとタスクが終わる,HASDeathTaskSetting
HASUseSaboSetting,Use Sabotage,サボタージュが使える,HASUseSaboSetting
HASUseVentSetting,Use Vent,ベントが使える,HASUseVentSetting
FinalStatusAlive,Survival,生存,FinalStatusAlive
FinalStatusKill,Kill,キル,FinalStatusKill
FinalStatusExiled,Exiled,追放,FinalStatusExiled
FinalStatusNekomataExiled,The Way of the Nekomata,猫又の道連れ,FinalStatusNekomataExiled
FinalStatusSheriffKill,Sheriff kill,シェリフキル,FinalStatusSheriffKill
FinalStatusSheriffMisFire,Sheriff misfire,シェリフ誤爆,FinalStatusSheriffMisFire
FinalStatusMeetingSheriffKill,Meeting Sheriff kill,ミーティングシェリフキル,FinalStatusMeetingSheriffKill
FinalStatusMeetingSheriffMisFire,Meeting Sheriff misfire,ミーティングシェリフ誤爆,FinalStatusMeetingSheriffMisFire
FinalStatusSelfBomb,Self-destruct,自爆,FinalStatusSelfBomb
FinalStatusBySelfBomb,Self-destruct collateral damage,自爆巻き添え,FinalStatusBySelfBomb
FinalStatusDisconnected,amputation,切断,FinalStatusDisconnected
FinalStatusDead,Death,死亡,FinalStatusDead
FinalStatusSabotage,Sabotage,サボタージュ,FinalStatusSabotage
SabotageSetting,Sabotage Setting,サボタージュの設定,SabotageSetting
SabotageCognitiveDeficitSetting,Cognitive Deficit,認識障害,SabotageCognitiveDeficitSetting
CognitiveDeficitSabotageOutfitUpdateTimeSetting,Figure Change Interval,姿変更間隔,CognitiveDeficitSabotageOutfitUpdateTimeSetting
CognitiveDeficitSabotageReleaseTimeSetting,Release Time,解除時間,CognitiveDeficitSabotageReleaseTimeSetting
CognitiveDeficitSabotageIsAllPlayerEndSabotageSetting,Cannot be sabotaged unless everyone is deactivated.,全員が解除しないとサボタージュできない,CognitiveDeficitSabotageIsAllPlayerEndSabotageSetting
Agartha_WareHouse,Ware House,倉庫,Agartha_WareHouse
Agartha_ToolRoom,Tool Room,工具室,Agartha_ToolRoom
Agartha_WorkRoom,Work Room,仕事場,Agartha_WorkRoom
detecName,Detective,探偵,detecName
SoothSayerName,Diviner,占い師,SoothSayerName
SoothSayerTitle1,Divine the player and find the outsider.,プレイヤーを占い人外を見つけよう,SoothSayerTitle1
SoothSayerDisplaySetting,Position visibility,陣営表示にする,SoothSayerDisplaySetting
SoothSayerDetailMode,Detail display,詳細表示,SoothSayerDetailMode
SoothSayerEncampMode,Camp indicator,陣営表示,SoothSayerEncampMode
SoothSayerMaxCountSetting,Number of times you can divine,占える回数,SoothSayerMaxCountSetting
SoothSayerGetChat,The Role of {0} is {1}.,{0}の役職は{1}です。,SoothSayerGetChat
JesterName,Jester,てるてる,JesterName
JesterTitle1,Vote to get banned!,投票で追放されよう,JesterTitle1
JesterDescription,If they are expelled at the meeting they win alone.,会議で追放されると、単独勝利します。,JesterDescription
JesterIsVentSetting,I can put it in a vent.,ベントに入れる,JesterIsVentSetting
JesterIsSabotageSetting,You can sabotage it.,サボタージュができる,JesterIsSabotageSetting
JesterIsWinClearTaskSetting,Jester was Clear Task Win,タスクを完了しないと勝利できない,JesterIsWinClearTaskSetting
JesterWinText,Jester{0}Win!,てるてる{0}勝利,JesterWinText
LighterName,Lighter,ライター,LighterName
LighterTitle1,Let's brighten our vision,視界を明るくしよう,LighterTitle1
LigtherCoolDownSetting,Writer Cooldown,ライターのクールダウン,LigtherCoolDownSetting
LigtherDurationSetting,Lighter Duration,ライターの継続時間,LigtherDurationSetting
LighterUpVisionSetting,View in light,ライト中の視界,LighterUpVisionSetting
LighterButtonName,Light!,ライト!,LighterButtonName
EvilLighterName,Evil Lighter,イビル ライター,EvilLighterName
EvilLighterTitle1,Darken Vision,視界を暗くしよう,EvilLighterTitle1
EvilLighterTitle2,Create a blackout sabotage that can further reduce your vision!,視界をさらに狭くできる停電のサボタージュを発生させよう,EvilLighterTitle2
EvilLigtherCoolDownSetting,Evil Lighter Cooldown,イビルライターのクールダウン,EvilLigtherCoolDownSetting
EvilLigtherDurationSetting,Duration of Evil Writer,イビルライターの継続時間,EvilLigtherDurationSetting
EvilScientistName,Evil Scientist,イビルサイエンティスト,EvilScientistName
EvilScientistTitle1,Become invisible and get kills!,透明になってキルをしよう,EvilScientistTitle1
EvilScientistTitle2,Win with the power of science!,科学の力で勝利しよう,EvilScientistTitle2
EvilScientistCoolDownSetting,Evil Scientist Invisibility Cooldown,イビルサイエンティストの透明クールダウン,EvilScientistCoolDownSetting
EvilScientistDurationSetting,Evil Scientist's Invisibility Duration,イビルサイエンティストの透明継続時間,EvilScientistDurationSetting
SheriffName,Sheriff,シェリフ,SheriffName
SheriffTitle1,Kill the outsider!,人外をキルしよう,SheriffTitle1
SheriffTitle2,Kill the outsider and lead your crewmates to victory!,人外をキルしてクルーメイトを勝利に導こう,SheriffTitle2
SheriffDescription,Can shoot and kill an imposter if he is a crewmate. he will self-destruct.,インポスター陣営(設定により第三陣営など)をキルすることが出来、クルーだった場合、自爆します,SheriffDescription
SheriffCoolDownSetting,Kill Cooldown,キルクールタイム,SheriffCoolDownSetting
SheriffIsKillNewtralSetting,Can Kill a Neutral,第三陣営をキルできる,SheriffIsKillNewtralSetting
SheriffIsKillLoversSetting,Can Kill a Lovers,ラバーズをキルできる,SheriffIsKillLoversSetting
SheriffIsKillMadRoleSetting,Can Kill a MadRole,マッド系役職をキルできる,SheriffIsKillMadRoleSetting
SheriffYes,Yes,できる,SheriffYes
SheriffNo,No,できない,SheriffNo
SheriffMaxKillCountSetting,Maximum number of kills,最大キル数,SheriffMaxKillCountSetting
SheriffKillButtonName,Kill,キル,SheriffKillButtonName
SheriffNumTextName,{0} shots remaining.,残り{0}発,SheriffNumTextName
MeetingSheriffName,Meeting Sheriff,ミーティング シェリフ,MeetingSheriffName
MeetingSheriffTitle1,Kill an outsider in a meeting!,人外を会議でキルしよう,MeetingSheriffTitle1
MeetingSheriffTitle2,Kill an outsider in a meeting and lead your crewmates to victory!,人外を会議でキルしてクルーメイトを勝利に導こう,MeetingSheriffTitle2
MeetingSheriffTitle3,Kill an outsider in a meeting to prevent a power play,人外を会議でキルしてパワープレイを防ごう,MeetingSheriffTitle3
MeetingSheriffTitle4,Kill an outsider in a meeting to prevent a PP,人外を会議でキルしてPPを防ごう,MeetingSheriffTitle4
MeetingSheriffIsKillNeutralSetting,Can Kill a Neutral,第三陣営をキルできる,MeetingSheriffIsKillNeutralSetting
MeetingSheriffIsKillMadRoleSetting,Can Kill a Madmate,マッド系役職をキルできる,MeetingSheriffIsKillMadRoleSetting
MeetingSheriffYes,Yes,できる,MeetingSheriffYes
MeetingSheriffNo,No,できない,MeetingSheriffNo
MeetingSheriffMaxKillCountSetting,Maximum number of Meeting Sheriff kills,ミーティングシェリフの最大キル数,MeetingSheriffMaxKillCountSetting
MeetingSheriffMeetingmultipleKillSetting,Can you get multiple kills in one meeting?,一会議中に複数キルできるか,MeetingSheriffMeetingmultipleKillSetting
JackalName,Jackal,ジャッカル,JackalName
JackalTitle1,Try to kill Imposters and Crew Mates,インポスターとクルーメイトをキルしよう,JackalTitle1
JackalTitle2,Kill the other team to win!,他陣営をキルして勝利しよう,JackalTitle2
JackalTitle3,Let's just kill them all.,全員ぶち殺そう,JackalTitle3
JackalCoolDownSetting,Jackal's kill cool time,ジャッカルのキルクールタイム,JackalCoolDownSetting
JackalUseVentSetting,Use Vent,ベントを使える,JackalUseVentSetting
JackalUseSaboSetting,Use Sabotage,サボタージュが使える,JackalUseSaboSetting
JackalCreateSidekickSetting,Jackal can make a Sidekick,ジャッカルがサイドキックを作れる,JackalCreateSidekickSetting
JackalNewJackalCreateSidekickSetting,New Jackal can make Sidekick,新ジャッカルがサイドキックを作れる,JackalNewJackalCreateSidekickSetting
JackalOn,On,オン,JackalOn
JackalOff,Off,オフ,JackalOff
JackalCreateSidekickButtonName,Sidekick!,サイドキック！,JackalCreateSidekickButtonName
SidekickName,Sidekick,サイドキック,SidekickName
SidekickTitle1,Help Jackal,ジャッカルを助けよう,SidekickTitle1
TeleporterName,Teleporter,テレポーター,TeleporterName
TeleporterTitle1,Let's get everyone together,みんなを集めよう,TeleporterTitle1
TeleporterTitle2,Let's get everyone away from the corpse position.,みんなを死体位置から遠ざけよう,TeleporterTitle2
TeleporterCoolDownSetting,Teleporter Sabotage Kill Cool Down,テレポーターサボタージュのキルクールダウン,TeleporterCoolDownSetting
TeleporterTeleportTimeSetting,Time to be teleported,テレポートされるまでの時間,TeleporterTeleportTimeSetting
TeleporterTeleportButton,Teleport,テレポート！,TeleporterTeleportButton
TeleporterTPTextMessage,The teleporter teleported you to {0}!,テレポーターが{0}にテレポートさせた!,TeleporterTPTextMessage
SpiritMediumName,Medium,霊媒師,SpiritMediumName
SpiritMediumTitle1,Divine the dead person's position,やられた人を占い役職を調べよう,SpiritMediumTitle1
SpiritMediumDisplaySetting,Position visibility,陣営表示にする,SpiritMediumDisplaySetting
SpiritMediumDetailMode,Detail display,詳細表示,SpiritMediumDetailMode
SpiritMediumEncampMode,Position Display,陣営表示,SpiritMediumEncampMode
SpiritMediumMaxCountSetting,Number of times you can divine,占える回数,SpiritMediumMaxCountSetting
SpeedBoosterName,Speed Booster,スピードブースター,SpeedBoosterName
SpeedBoosterTitle1,Make your speed faster!,スピードを速くしよう,SpeedBoosterTitle1
SpeedBoosterTitle2,Lead your crew to victory with super speed!,スーパースピードでクルーを勝利に導こう,SpeedBoosterTitle2
SpeedBoosterCoolDownSetting,Speed Up Cooldown,スピードアップクールダウン,SpeedBoosterCoolDownSetting
SpeedBoosterDurationSetting,Duration of speed-up,スピードアップの継続時間,SpeedBoosterDurationSetting
SpeedBoosterPlusSpeedSetting,Double your speed,スピードの倍速,SpeedBoosterPlusSpeedSetting
SpeedBoosterBoostButtonName,Speed\nBoost,スピード\nブースト,SpeedBoosterBoostButtonName
EvilSpeedBoosterName,Evil Speed Booster,イビルスピードブースター,EvilSpeedBoosterName
EvilSpeedBoosterTitle1,Make your speed faster!,スピードを速くしよう,EvilSpeedBoosterTitle1
EvilSpeedBoosterTitle2,Use your super speed to lead your Imposter to victory!,スーパースピードでインポスターを勝利に導こう,EvilSpeedBoosterTitle2
EvilSpeedBoosterTitle3,Get a kill with super speed!,スーパースピードでキルをしよう,EvilSpeedBoosterTitle3
EvilSpeedBoosterTitle4,Let's run around and kill everyone.,走りまくって皆を瞬殺しよう,EvilSpeedBoosterTitle4
EvilSpeedBoosterCoolDownSetting,Speed Up Cooldown,スピードアップクールダウン,EvilSpeedBoosterCoolDownSetting
EvilSpeedBoosterDurationSetting,Speedup duration,スピードアップの継続時間,EvilSpeedBoosterDurationSetting
EvilSpeedBoosterPlusSpeedSetting,Double Speed,スピードの倍速,EvilSpeedBoosterPlusSpeedSetting
EvilSpeedBoosterIsNotSpeedBooster,If this position is selected the speed booster will not be selected.,この役職が選ばれるとスピードブースターが選ばれない,EvilSpeedBoosterIsNotSpeedBooster
EvilSpeedBoosterBoostButtonName,Speed\nBoost,スピード\nブースト,EvilSpeedBoosterBoostButtonName
TaskerName,Tasker,タスカー,TaskerName
TaskerTitle1,Finish the task and win the Imposter!,タスクを終わらせてインポスターを勝利させよう,TaskerTitle1
TaskerTitle2,Try to finish the task!,タスクを頑張って終わらせよう,TaskerTitle2
TaskerTaskSetting,Task Amount,タスク量,TaskerTaskSetting
TaskerIsKillSetting,Killable,キルできる,TaskerIsKillSetting
DoorrName,Doorr,ドアー,DoorrName
DoorrTitle1,Let's open and close the door.,ドアを開け閉めしよう,DoorrTitle1
DoorrTitle2,Close the door to block the imposter!,ドアを閉めてインポスターを妨害しよう,DoorrTitle2
DoorrCoolTimeSetting,Door Cool Time,ドアクールタイム,DoorrCoolTimeSetting
DoorrButtonText,Door Open Or Close,ドアを開け閉めする,DoorrButtonText
EvilDoorrName,Evil Doorr,イビルドアー,EvilDoorrName
EvilDoorrTitle1,Open and close doors!,ドアを開け閉めしよう,EvilDoorrTitle1
EvilDoorrTitle2,Try to sabotage your crewmates!,クルーメイトを妨害しよう,EvilDoorrTitle2
EvilDoorrTitle3,Open and close the door immediately to block your crewmate!,すぐにドアを開け閉めしてクルーメイトを妨害しよう,EvilDoorrTitle3
EvilDoorrCoolTimeSetting,Door Cool Time,ドアクールタイム,EvilDoorrCoolTimeSetting
ShielderName,Shielder,シールダー,ShielderName
ShielderTitle1,Prevent outsider kills.,人外のキルを防ごう,ShielderTitle1
ShielderTitle2,Shield yourself!,自分にシールドを張ろう,ShielderTitle2
ShielderTitle3,Try to block a foreigner's kill!,人外のキルを妨害しよう,ShielderTitle3
