Key,English,Japanese,SChinese
colorBackblue,Back blue,影青,天蓝色
colorMildpurple,Mild purple,穏やかな紫,淡紫色
colorAshishreddishpurplecolor,Ashish reddish purple color,灰みの赤紫系の色,灰红色
colorMelon,Melon,メロン,瓜绿色
colorCrasyublue,Crasyu Blue,クラッシュブルー,深海蓝
colorLightgreen,Light Green,ライトグリーン,亮绿

# CustomOptions
MapCustom,Map Custom,マップ改造,地图设置
SecretRoom,(Airship)Secret Room,(エアーシップ)シークレットルーム,空艇：机密室
enableMirroMap,enable MirroMap,反転マップを有効にする,启用镜像地图
SettingpresetSelection,Preset,プリセット,预设
SettingSuperNewRoles,<color=#ffa500> S u p e r </color><color=#ff0000>N e w </color><color=#00ff00>R o l e s</color> Settings,<color=#ffa500> S u p e r </color><color=#ff0000>N e w</color><color=#00ff00> R o l e s </color>の設定,<color=#ffa500>超 级</color> <color=#ff0000>新</color> <color=#00ff00>职 业</color> 设置
SettingImpostor,<color=#ff0000>Impostor</color> Settings,<color=#ff0000>インポスター</color>の設定,<color=#ff0000>伪装者阵营</color>设置
SettingNeutral,<color=#808080>Neutral</color> Settings,<color=#808080>第三陣営</color>の設定,<color=#808080>独立阵营</color>设置
SettingCrewmate,<color=#a9ceec>Crewmate</color> Settings,<color=#00ffff>クルーメイト</color>の設定,<color=#00ffff>船员阵营</color>设置
SettingRegulation,Regulation Settings,レギュレーション設定,常规设置
SettingMiniCrewRole,Minimum Crewmate Roles,最小クルーメイト役職数,船员阵营最小职业数
SettingMaxCrewRole,Maximum Crewmate Roles,クルーメイト役職人数,船员阵营最大职业数
SettingMiniCrewGhostRole,Minimum Crewmate Ghost Roles,最小クルーメイト幽霊役職数,船员阵营最小灵魂职业数
SettingMaxCrewGhostRole,Maximum Crewmate Ghost Roles,クルーメイト幽霊役職人数,船员阵营最大灵魂职业数
SettingMiniNeutralRole,Minimum Neutral Roles,最小第三陣営役職数,独立阵营最小职业数
SettingMaxNeutralRole,Maximum Neutral Roles,第三陣営役職人数,独立阵营最大职业数
SettingMiniNeutralGhostRole,Minimum Neutral Ghost Roles,最小第三陣営幽霊役職数,独立阵营最少灵魂职业数
SettingMaxNeutralGhostRole,Maximum Neutral Ghost Roles,第三陣営幽霊役職人数,独立阵营最多灵魂职业数
SettingMiniImpoRole,Minimum Impostor Roles,最小インポスター役職数,伪装者阵营最小职业数
SettingMaxImpoRole,Maximum Impostor Roles,インポスター役職人数,伪装者阵营最大职业数
SettingMiniImpoGhostRole,Minimum Impostor Ghost Roles,最小インポスター幽霊役職数,伪装者阵营最小灵魂职业数
SettingMaxImpoGhostRole,Maximum Impostor GhostRoles,インポスター幽霊役職人数,伪装者阵营最大灵魂职业数
SettingsHideSetting,Hide Setting,設定を隠す,隐藏设置
SettingCrewMateTeamRolesName,Position setting of crewmate camp,クルーメイト陣営の役職設定,船员阵营职业设置
SettingImpostorTeamRolesName,Impostor camp position setting,インポスター陣営の役職設定,伪装者阵营职业设置
Setting,Setting up positions in the third camp,第三陣営の役職設定,独立阵营职业设置
SettingAllOkRolesName,Setting up multiple positions,複数役職の設定,附加职业设置
Settingsonota,Other settings,その他の設定,其他设置
optionOn,<color=#03ff0c>On</color>,<color=#03ff0c>オン</color>,<color=#03ff0c>开启</color>
optionOff,<color=#f22f21>Off</color>,<color=#f22f21>オフ</color>,<color=#f22f21>关闭</color>
preset1,Preset 1,プリセット1,预设1
preset2,Preset 2,プリセット2,预设2
preset3,Preset 3,プリセット3,预设3
preset4,Preset 4,プリセット4,预设4
preset5,Preset 5,プリセット5,预设5
preset6,Preset 6,プリセット6,预设6
preset7,Preset 7,プリセット7,预设7
preset8,Preset 8,プリセット8,预设8
preset9,Preset 9,プリセット9,预设9
preset10,Preset 10,プリセット10,预设10
unitSeconds,Seconds,秒,秒
SettingPlayerCountName,Role Player,人数,人数
CustomStremerMode,Hide Server Url,サーバーURLを非表示にする,直播模式
CustomAutoUpdate,Auto Update,自動アップデート,自动更新
CustomAutoCopyGameCode,Game Code Auto Copy,ゲームコードを自動でコピーする,自动复制房间代码
CustomProcessDown,Update Process Down,処理回数を減らす,更新进程已关闭
CustomIsVersionErrorView,Show players Errors.,エラーを表示する,显示错误
CustomHideTaskArrows,Hide Tasks Arrows,タスクの矢印を非表示にする,隐藏任务指向箭头
SettingCrewmateRoles,Crewmate Setting,クルーメイトの人数設定,船员阵营职业设置
SettingCrewmateGhostRoles,Crewmate GhostRole Setting,クルーメイトの幽霊役職の人数設定,船员阵营灵魂职业设置
SettingNeutralRoles,Neutral Setting,第三陣営の人数設定,独立阵营职业设置
SettingNeutralGhostRoles,Neutral GhostRole Setting,第三陣営の幽霊役職の人数設定,独立阵营灵魂职业设置
SettingImpostorRoles,Impostor Setting,インポスターの人数設定,伪装者阵营职业设置
SettingImpostorGhostRoles,Impostor GhostRole Setting,インポスターの幽霊役職の人数設定,伪装者阵营灵魂职业设置
SettingOptionOn,On,オン,开启
SettingOptionOff,Off,オフ,关闭
SettingPressTabForMore,Press Tab For More,Tabを押して詳細を表示,按Tab键查看更多...
ErrorHostNoVersion,Your host does not have <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>.,ホストに<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>が入っていません。,主持人没有安装<color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>模组
ErrorHostChangeVersion,The host has a different version of <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>.,ホストの<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のバージョンが違います。,主持人安装的<color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>模组版本不同
ErrorClientNoVersion,You don't have <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> in {0}.,{0}に<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>が入っていません。,{0}未安装<color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>模组
ErrorClientChangeVersion,The version of <color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color> in {0} is wrong.,{0}の<color=#ffa500>Super</color><color=#ff0000>New</color><color=#00ff00>Roles</color>のバージョンが違います。,{0}安装的<color=#ffa500>超级</color><color=#ff0000>新</color><color=#00ff00>职业</color>模组版本不同
IsSpecialModeOnAndVanillaKickOff,If <color=#2792c3>[Kick non-PCs]</color> is disabled， the\nmap will be selected for <color=#cd5c5c>MiraHQ</color>.\nIf you want to use<color=#a67646>Agartha</color>\nEnable <color=#2792c3>[Kick non-PCs]</color>.,<color=#2792c3>「PC以外をキックする」</color>が無効である場合、\nマップは<color=#cd5c5c>MiraHQ</color>に選択されます。\n<color=#a67646>Agartha</color>を使用したい場合は、\n<color=#2792c3>「PC以外をキックする」</color>を有効にしてください。,如果 “<color=#2792c3>踢出非电脑端玩家</color>”设置为否，\n地图将变为<color=#cd5c5c>米拉总部</color>。\n要启用<color=#a67646>雅各泰</color>地图，\n需要将“<color=#2792c3>踢出非电脑端玩家</color>”选项设置为是。
RamdomMapSetting,RandomMap,ランダムマップ,随机地图
RMSkeldSetting,Skeld,スケルドが有効,可随机到骷髅舰
RMMiraSetting,Mira,ミラが有効,可随机到米拉总部
RMPolusSetting,Polus,ポーラスが有効,可随机到波鲁斯
RMAirshipSetting,AirShip,エアーシップが有効,可随机到飞艇
RMSubmergedSetting,Submerged,サブマージドが有効,可随机到潜艇
ADMINButton,ADMIN,アドミン,地图
timeRemaining,Remaining: {0},残り{0},剩余：{0}秒
restrictOutOfTime,Time up,時間切れ,超时
RestrictDevicesSetting,Device Restrictions,機器の制限,设备限制
RestrictAdminSetting,Admin Restrictions,アドミンの制限,管理地图限制
RestrictCameraSetting,Camera Restrictions,カメラの制限,监控限制
RestrictVitalSetting,Vital Restrictions,バイタルの制限,生命监测装置限制
DeviceTimeSetting,Can use time,使用可能時間,设备可使用最大时间
IsYkundesuBeplnExSetting,ykundesuBeplnEx,ykundesuBeplnEx,ykundesuBeplnEx
restrictOutOfTimeVerYkundesuBeplnEx,ykundesuBeplnEx IS! VERY! VERY DELICIOUSSSSS!!!!!，isn't it?,ﾖｯｷﾝｸﾞﾍﾞｯﾋﾟﾝｲｰｴｯｸｽおいしい,ykundesuBeplnEx是美味的!
ReactorDurationSetting,Reactor Duration Time,リアクター継続時間の設定,反应堆破坏持续时间
PolusReactorTime,Polus Reactor Duration Time,ポーラスでのリアクター時間,波鲁斯反应堆破坏持续时间
MiraReactorTime,Mira Reactor Duration Time,ミラでのリアクター時間,米拉总部反应堆破坏持续时间
AirshipReactorTime,Airship  Reactor Duration Time,エアーシップでのリアクター時間,飞艇反应堆破坏持续时间
VentMakerButtonName,Make Vent,設置,制作通风口
AddVitalsMiraSetting,Adding vitals to Mira,Miraにバイタルを追加する,米拉总部追加生命监测装置
VentAnimation,No Vent Animation,ベントアニメーション無効化,禁用通风口动画
MapRemodelingOptionSetting,Map Remodeling,マップ改造,地图改造
AirShipAdditionalVents,AirShipAdditionalVents,エアーシップにベントを追加する,飞艇增加通风口
PolusAdditionalVents,PolusAdditionalVents,ポーラスにベントを追加する,波鲁斯增加通风口
MiraAdditionalVents,MiraAdditionalVents,ミラにベントを追加する,米拉总部增加通风口
Zoomafterdeath,Zoom function after death,死後のズーム機能,死后视野缩放功能
mousemode,Mouse wheel Mode,マウスホイールモード,鼠标滚轮模式
clairvoyantmode,ClairvoyantMode,千里眼モード,千里眼模式
clairvoyantCoolTime,ClairvoyantCoolTime,千里眼のクールダウン,千里眼冷却时间
clairvoyantDurationTime,ClairvoyantDurationTime,千里眼の継続時間,千里眼持续时间
ClairvoyantButtonName,Clairvoyant!,千里眼,千里眼
LadderDead,Ladder Death,転落死,使用梯子可能摔死
LadderDeadChance,Ladder Death Chance,転落死する確率,摔死概率
MoveElecPadSetting,Move the switchboard.,配電盤を移動する,更改配电板位置
AirshipDisableMovingPlatformSetting,Disable Moving Platform,昇降機のリフトを無効化する,禁用移动平台
AddWireTaskSetting,Add Wire Task,配線タスクを追加する,追加接线任务
RandomSpawnOption,Random Spawn,ランダムスポーン,启用随机出生
IsAlwaysReduceCooldown,Reduce Cooldown,常にキルクールタイムが進む,技能冷却配置
IsAlwaysReduceCooldownExceptInVent,Reduce Cooldown Except InVent,ベント内でも進む,在通风口中不计算技能冷却
IsAlwaysReduceCooldownExceptOnTask,Reduce Cooldown Except OnTask,停電修理中でも進む,技能冷却在修理紧急任务时不计算
IsChangeTheWinCondition,Change the win condition,勝利条件を変更する,胜利条件变更
DisconnectNotPC,Kick non-PCs.,PC以外をキックする,踢出非电脑端玩家
WireTaskIsRandom,Wire task random,配線タスクランダム随机分配修复配线的任务地点,随机接线任务
WireTaskNum,Wire task num,配線タスク数,接线任务总数
IsSNROnlySearch,SNR Room Filter,SNRルームフィルター,SNR房间过滤

# Modes
ModeSetting,Mode Setting,モード設定,模式设置
SettingMode,Mode,モード,游戏模式
SettingHideAndSeekMode,Hide And Seek Mode,かくれんぼモードの設定,躲猫猫模式设置
SettingBattleRoyalMode,Battle Royal Mode,バトルロイヤルモードの設定,皇室战争模式设置
SettingSuperHostRolesMode,Super Host Roles Mode,SuperHostRolesの設定,超级主持人职业设置
SettingZombieMode,Zombie Mode,ゾンビモードの設定,生化危机模式设置
SettingRandomColorMode,Random Color Mode,ランダムカラーモードの設定,随机颜色模式设置
SettingDetectiveMode,Detective Mode,探偵モードの設定,侦探模式设置
HideAndSeekModeName,Hide And Seek,かくれんぼ,躲猫猫
BattleRoyalModeName,Battle Royal,バトルロイヤル,皇室战争
SuperHostRolesModeName,Super Host Roles,SuperHostRoles,超级主持人职业
ZombieModeName,Zombie Mode,ゾンビモード,生化危机
RandomColorModeName,Random Color Mode,ランダムカラー,随机颜色模式
NotImpostorCheckModeName,Not Impostor Check Mode,インポスター視認不能モード,双盲伪装者模式
CopsRobbersModeName,CopsRobbers,ケイドロ,警察抓小偷
CopsRobbersModeCrewName,Thief,泥棒,小偷
CopsRobbersModeCrewTitle1,Finish the task and win without getting caught by the police!,警察に捕まらないようにタスクを終わらせて勝利しよう,在不被警察抓到的前提下完成任务获得胜利
CopsRobbersModeImpostorName,Police,警察,警察
CopsRobbersModeImpostorTitle1,Catch all the thieves and win!,泥棒を全員捕まえて勝利しよう,逮捕所有小偷获得胜利
DetectiveModeName,Detective Mode,探偵モード,侦探模式
DetectiveModeIsWinNotCheckSetting,Not include the detective in the win condition determination.,探偵を勝利条件判定に入れない,侦探不计入胜利条件判定
DetectiveModeIsNotTaskSetting,No tasks for detective,探偵にタスクがない,侦探没有任务
DetectiveModeIsNotDetectiveVoteSetting,Non-Detective cannot vote,探偵以外は投票できない,除侦探外的玩家无法投票
DetectiveModeIsNotDetectiveMeetingButtonSetting,Non-Detective cannot press the conference button,探偵以外が会議ボタンを押せない,除侦探外的玩家无法召开紧急会议
DetectiveName,Detective,探偵,侦探
DetectiveTitle1,Guess and win over your crewmates!,推理してクルーメイトを勝利させよう,通过推理帮助船员获胜
BattleRoyalIsViewAlivePlayer,You can see how many player are left alive.,残り生存人数がわかる,所有玩家可见存活数
BattleRoyalIsTeamBattle,Team competition,チーム戦,启用团队赛
BattleRoyalTeamAmount,Number of teams,チーム数,团队数
BattleRoyalIsKillCountView,null,null,查看击杀数
BattleRoyalIsKillCountViewSelfOnly,null,null,仅查看自己击杀数
BattleRoyalStartSeconds,Seconds to be able to make a kill,キルができるようになるまでの秒数,游戏开始后多久可以击杀
ZombieZombieName,Zombie,ゾンビ,僵尸
ZombieZombieTitle1,Infect other players!,他のプレイヤーを感染させよう,感染所有人获得胜利
ZombiePoliceName,Police,警察,警察
ZombiePoliceTitle1,Let's finish the task.,タスクを終わらせて勝利しよう,完成任务获得胜利
ZombieTimerText,Zombies incoming! {0}s,ゾンビがやってくるまで残り{0}秒！,僵尸将在{0}秒后出现
ZombieStartSecondSetting,Time until the zombies come.,ゾンビがやってくるまでの時間,僵尸出现倒计时
ZombieZombieLightSetting,Zombie Visibility,ゾンビの視界,僵尸视野
ZombieZombieSpeedSetting,Zombie Speed,ゾンビのスピード,僵尸速度
ZombiePoliceLightSetting,Police visibility,警察の視界,警察视野
ZombiePoliceSpeedSetting,Speed of police,警察のスピード,警察速度
ZombieCommingLightSetting,Light before zombies,ゾンビがやってくる前の視界,僵尸出现前的视野
ZombieCommingSpeedSetting,Speed before zombies,ゾンビがやってくる前のスピード,僵尸出现前的速度
RandomColorHideNameSetting,Hide Name,名前を隠す,隐藏昵称
RandomColorNameColorSetting,Change Name Color,名前の色も変える,昵称颜色改变
RandomColorMeetingSetting,In Meeting Change Color,会議中にも色を変更する,会议中昵称颜色改变
NeutralName,Neutral,第三陣営,独立阵营
WinName,Win,勝利,胜利
PlusModeSetting,Plus Mode,重複モード,附加模式
SettingNoSabotageMode,Block Sabotage Mode,サボタージュ禁止モード,伪装者禁用破坏
SettingNoTaskWinMode,Not Task Win Mode,タスク勝利できないモード,船员禁用完成任务获胜
SettingFixedSpawnMode,Fixed Spawn Mode,固定スポーンモード,固定出生点
MapOptionSetting,Map Option,マップの設定,地图设置
NotUseReportSetting,Unable to Report DeadBody,死体通報ができない,禁用报告
NotUseMeetingSetting,Conference button not available,会議ボタンが使用できない,禁用紧急会议
DeviceOptionsSetting,Device Options,機器の設定,设备设置
DeviceUseAdminSetting,Use OK Admin,アドミンが使える,可以使用管理地图
DeviceUseVitalOrDoorLogSetting,Use OK Vital Or DoorLog,バイタル・ドアログが使える,可以使用生命监测装置和通行日志
DeviceUseCameraSetting,Use OK Camera,カメラが使える,可以使用监控
HASHideName,Hide,逃,逃生者
HASSeekName,Seek,鬼,屠夫
HASDeathTaskSetting,Hide Death Clear Task,死亡するとタスクが終わる,死亡后隐藏尸体并清除任务
HASUseSaboSetting,Use Sabotage,サボタージュが使える,屠夫可以造成紧急破坏
HASUseVentSetting,Use Vent,ベントが使える,屠夫可以使用通风口

# FinalResults
FinalResults,Final results,最終結果
FinalStatusAlive,Survival,生存,存活
FinalStatusKill,Kill,キル,被杀
FinalStatusExiled,Exiled,追放,放逐
FinalStatusNekomataExiled,The Way of the Nekomata,猫又の道連れ,连带
FinalStatusSheriffKill,Sheriff kill,シェリフキル,警长执法
FinalStatusSheriffMisFire,Sheriff misfire,シェリフ誤爆,警长走火
FinalStatusMeetingSheriffKill,Meeting Sheriff kill,ミーティングシェリフキル,执行官执法
FinalStatusMeetingSheriffMisFire,Meeting Sheriff misfire,ミーティングシェリフ誤爆,执行官走火
FinalStatusSelfBomb,Self-destruct,自爆,自杀
FinalStatusBySelfBomb,Self-destruct collateral damage,自爆巻き添え,自爆
FinalStatusDisconnected,amputation,切断,断连
FinalStatusDead,Death,死亡,死亡

# Sabotages
FinalStatusSabotage,Sabotage,サボタージュ,破坏
SabotageSetting,Sabotage Setting,サボタージュの設定,破坏设置
SabotageCognitiveDeficitSetting,Cognitive Deficit,認識障害,认知干扰
CognitiveDeficitSabotageOutfitUpdateTimeSetting,Figure Change Interval,姿変更間隔,外貌变换间隔时间
CognitiveDeficitSabotageReleaseTimeSetting,Release Time,解除時間,持续时间
CognitiveDeficitSabotageIsAllPlayerEndSabotageSetting,Cannot be sabotaged unless everyone is deactivated.,全員が解除しないとサボタージュできない,有玩家没有解除认知干扰则不能继续破坏

# WereWolfMode
WereWolfHunterText,Let's die with someone else.,誰かを道連れにしよう,来送别人上路吧
WereWolf.WereWolf,Werewolf,人狼,狼人
WereWolf.WereWolfText,Let's Eat Villager and Win!,市民を食べて勝利しよう,吃掉村民获得胜利
WareWolfMadman,Madmate,狂人,疯子
WereWolfMadmanText,Help the werewolves and win!,人狼を助けて勝利しよう,帮助狼人获得胜利
WareWolfVillager,Villager,市民,市民
WereWolfVillagerText,Expel the werewolves in the debate and win!,議論で人狼を追放して勝利しよう,通过辩论放逐狼人获得胜利
WareWolfFortuneTeller,FortuneTeller,占い師,占卜师
WereWolfFortuneTellerText,Divination to discover the werewolf and win!,占って人狼を発見して勝利しよう,通过占卜找到狼人获得胜利
WareWolfMedium,Medium,霊媒師,通灵师
WereWolfMediumText,Search out the role of the dead and win!,死んだ人の役職を調べて勝利しよう,查清死者职业获得胜利
WereWolfMeetingNormal,This is Meeting Time.,今回は会議タイムです。,本次会议时间
WereWolfMeetingAbility,This is Use to Ability Time.,今回は能力使用タイムです。,本次能力使用时间
WereWolfMediumAbilityText,{0}'s Role is {1}!,{0}の役職は{1}です!,{0}的职业是{1}!
WerewolfModeName,Werewolf,人狼,狼人杀
WerewolfAbilityTimeSetting,Ability Time,能力使用タイム,能力持续时间
WerewolfAbilityTime,{0} seconds remaining until the end of the ability use time,能力使用タイムが終了するまで残り{0}秒,能力持续时间还剩{0}秒
HauntedWolfName,HauntedWolf,狼憑き,幽灵狼
HauntedWolfTitle1,Don't let the crew find out.,クルーにバレるな,别让其他船员起疑
PlayerCountMessage,Players,人,名
DebugModeOnText,DebugMode:ON,デバッグモードが有効です,启用调试模式
BattleRoyalRemaining,Remaining until kills can be made,キルができるようになるまで残り,允许击杀时的剩余人数
Player,Player,プレイヤー,玩家
CopsImpostorCome,Remaining until the Imposter arrives,インポスターが来るまで残り,伪装者出现时的剩余人数
CopsSpawnLoading,Waiting for all players to spawn...\nLoading: {0} people remaining</color></size>,全プレイヤーのスポーンを待っています...\nロドー中:残り{0}人</color></size>,等待所有玩家进入行动阶段...\n载入中:还剩{0}人</color></size>
CRHideNameSetting,Hide Name,名前を隠す,隐藏昵称
IsOldMode,OldMode,オルドモード,怀旧模式
CrewMateName,Crewmate,クルーメイト,船员
CrewMateTitle1,Use Task,タスクを行う,完成任务并找出伪装者
CrewMateDescription,Default Crewmate.,通常のクルーメイトです。,普通船员。
ImpostorName,Impostor,インポスター,伪装者
ImpostorTitle1,Use Sabotage & Vent,サボタージュ＆ベントを行う,破坏并杀死所有人
ImpostorDescription,Default Impostor.,通常のインポスターです。,普通伪装者。
Neutral,Neutral,第三陣営,独立阵营
NeutralSubIntro,Let's work only for ourselves.Let's Take advantage of others.,自分の事だけ考えろ。他人の事は利用せよ。,你不属于船员或内鬼阵营，需要独自达成胜利条件。
detecName,Detective,探偵,侦探

# Roles
SoothSayerName,Diviner,占い師,占卜师
SoothSayerTitle1,Divine the player and find the outsider.,プレイヤーを占い人外を見つけよう,占卜并找出伪装者
SoothSayerDisplaySetting,Position visibility,陣営表示にする,占卜师可得信息为阵营而非职业
SoothSayerDetailMode,Detail display,詳細表示,具体职业
SoothSayerEncampMode,Camp indicator,陣営表示,所属阵营
SoothSayerMaxCountSetting,Number of times you can divine,占える回数,占卜师最大占卜次数
SoothSayerFirstWhiteOption,null,null,第一个白色选项
SoothSayerGetChat,The Role of {0} is {1}.,{0}の役職は{1}です。,{0}的职业是{1}
JesterName,Jester,てるてる,小丑
JesterTitle1,Vote to get banned!,投票で追放されよう,想办法被投出去
JesterDescription,If they are expelled at the meeting they win alone.,会議で追放されると、単独勝利します。,小丑在会议中被投出则小丑单独获胜。
JesterIsVentSetting,I can put it in a vent.,ベントに入れる,可以进入通风口
JesterIsSabotageSetting,You can sabotage it.,サボタージュができる,小丑可以破坏
JesterIsWinClearTaskSetting,Jester was Clear Task Win,タスクを完了しないと勝利できない,小丑不完成任务不能获胜
JesterWinText,Jester{0}Win!,てるてる{0}勝利,垂死梦中惊坐起\n小丑竟是为自己
LighterName,Lighter,ライター,执灯人
LighterTitle1,Let's brighten our vision,視界を明るくしよう,照亮自己的视野
LigtherCoolDownSetting,Writer Cooldown,ライターのクールダウン,技能冷却时间
LigtherDurationSetting,Lighter Duration,ライターの継続時間,技能持续时间
LighterUpVisionSetting,View in light,ライト中の視界,技能期间视野范围
LighterButtonName,Light!,ライト!,点灯！
EvilLighterName,Evil Lighter,イビル ライター,邪恶的执灯人
EvilLighterTitle1,Darken Vision,視界を暗くしよう,闪瞎其他人的视野
EvilLighterTitle2,Create a blackout sabotage that can further reduce your vision!,視界をさらに狭くできる停電のサボタージュを発生させよう,破坏灯光，产生更恐怖的黑暗
EvilLigtherCoolDownSetting,Evil Lighter Cooldown,イビルライターのクールダウン,技能冷却时间
EvilLigtherDurationSetting,Duration of Evil Writer,イビルライターの継続時間,技能持续时间
EvilScientistName,Evil Scientist,イビルサイエンティスト,邪恶的科学家
EvilScientistTitle1,Become invisible and get kills!,透明になってキルをしよう,隐身并杀死其他船员！
EvilScientistTitle2,Win with the power of science!,科学の力で勝利しよう,隐身，很神奇吧！
EvilScientistCoolDownSetting,Evil Scientist Invisibility Cooldown,イビルサイエンティストの透明クールダウン,隐身冷却时间
EvilScientistDurationSetting,Evil Scientist's Invisibility Duration,イビルサイエンティストの透明継続時間,隐身持续时间
SheriffName,Sheriff,シェリフ,警长
SheriffTitle1,Kill the outsider!,人外をキルしよう,执法除船员以为的人
SheriffTitle2,Kill the outsider and lead your crewmates to victory!,人外をキルしてクルーメイトを勝利に導こう,杀死伪装者带领船员获得胜利
SheriffDescription,Can shoot and kill an imposter if he is a crewmate. he will self-destruct.,インポスター陣営(設定により第三陣営など)をキルすることが出来、クルーだった場合、自爆します,警长可以击杀伪装者。\n但若警长尝试击杀船员，警长将以死谢罪。
